2024-09-30 06:56:58,510 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Current SDK version is 0.18.2
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Configure stats pid to 29632
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Loading settings from C:\Users\ai\.config\wandb\settings
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Loading settings from g:\github\llm_multiagent_debate\wandb\settings
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'math\\gen_math.py', 'program_abspath': 'G:\\github\\llm_multiagent_debate\\math\\gen_math.py', 'program': 'G:\\github\\llm_multiagent_debate\\math\\gen_math.py'}
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-09-30 06:56:58,511 INFO    MainThread:29632 [wandb_init.py:_log_setup():532] Logging user logs to g:\github\llm_multiagent_debate\wandb\run-20240930_065658-wq6d2v1r\logs\debug.log
2024-09-30 06:56:58,512 INFO    MainThread:29632 [wandb_init.py:_log_setup():533] Logging internal logs to g:\github\llm_multiagent_debate\wandb\run-20240930_065658-wq6d2v1r\logs\debug-internal.log
2024-09-30 06:56:58,512 INFO    MainThread:29632 [wandb_init.py:init():616] calling init triggers
2024-09-30 06:56:58,512 INFO    MainThread:29632 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'agents': 2, 'rounds': 3, 'evaluation_rounds': 1}
2024-09-30 06:56:58,512 INFO    MainThread:29632 [wandb_init.py:init():666] starting backend
2024-09-30 06:56:58,512 INFO    MainThread:29632 [wandb_init.py:init():670] sending inform_init request
2024-09-30 06:56:58,515 INFO    MainThread:29632 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-09-30 06:56:58,515 INFO    MainThread:29632 [wandb_init.py:init():683] backend started and connected
2024-09-30 06:56:58,521 INFO    MainThread:29632 [wandb_init.py:init():778] updated telemetry
2024-09-30 06:56:58,548 INFO    MainThread:29632 [wandb_init.py:init():811] communicating run to backend with 90.0 second timeout
2024-09-30 06:56:58,914 INFO    MainThread:29632 [wandb_init.py:init():862] starting run threads in backend
2024-09-30 06:56:59,332 INFO    MainThread:29632 [wandb_run.py:_console_start():2464] atexit reg
2024-09-30 06:56:59,333 INFO    MainThread:29632 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-09-30 06:56:59,333 INFO    MainThread:29632 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-09-30 06:56:59,333 INFO    MainThread:29632 [wandb_run.py:_redirect():2402] Redirects installed.
2024-09-30 06:56:59,336 INFO    MainThread:29632 [wandb_init.py:init():906] run started, returning control to user process
2024-09-30 06:57:16,217 WARNING MsgRouterThr:29632 [router.py:message_loop():77] message_loop has been closed
